iter	RMSE
422	0.09375454355
423	0.09372214229
424	0.09368632097
425	0.09364275629
426	0.09359518792
427	0.09356129578
428	0.09351138585
429	0.09345329641
430	0.09337853956
431	0.09334262762
432	0.09326690709
433	0.0932341887
434	0.09320937785
435	0.09314359973
436	0.09307505896
437	0.09304399759
438	0.09301383782
439	0.09299094777
440	0.09294937616
441	0.09290067436
442	0.09285741519
443	0.09281665653
444	0.09279473151
445	0.09274622485
446	0.09273628596
447	0.09272537895
448	0.09270061367
449	0.09263477972
450	0.0925904696
451	0.09253766942
452	0.09249855495
453	0.09246081689
454	0.09239727538
455	0.09236235255
456	0.0923174273
457	0.09228759559
458	0.09218195474
459	0.0921557977
460	0.09211092963
461	0.09207466724
462	0.09203324403
463	0.09199758501
464	0.09198374074
465	0.09192245236
466	0.09183969221
467	0.0917809201
468	0.09171017723
469	0.09168503725
470	0.09165046457
471	0.09158518167
472	0.09155164996
473	0.09151407935
474	0.09144209376
475	0.09137740853
476	0.09134867667
477	0.09131426783
478	0.091290085
479	0.09124251942
480	0.09119958693
481	0.0911746181
482	0.09112505416
483	0.09108834368
484	0.09105003707
485	0.09097883548
486	0.09092817807
487	0.09089076957
488	0.09084856072
489	0.0908021011
490	0.09079379898
491	0.09076969286
492	0.09073917523
493	0.09069629856
494	0.09068052964
495	0.09066167074
496	0.09058470373
497	0.09052796347
498	0.09044633204
499	0.09042400162
500	0.09040133556
501	0.09036506523
502	0.09032448555
503	0.09029020869
504	0.09025631973
505	0.09021952073
506	0.09019668889
507	0.09017257597
508	0.09013211004
509	0.09011013764
510	0.09008045148
511	0.09005926735
512	0.09002643864
513	0.09000864561
514	0.08997792985
515	0.08993770887
516	0.0899178668
517	0.08986420242
518	0.08982966572
519	0.08977593614
520	0.08973180709
521	0.08972438057
522	0.08968648289
523	0.08965055873
524	0.08961793062
525	0.08960277852
526	0.08956144907
527	0.08953435096
528	0.08951845666
529	0.08948120354
530	0.08944626486
531	0.08940852681
532	0.08938206972
533	0.08934268857
534	0.08932607625
535	0.08925001242
536	0.08923039175
537	0.08920035368
538	0.08916795855
539	0.08911818389
540	0.08908305025
541	0.08904235389
542	0.08901528879
543	0.08899002608
544	0.08894268127
545	0.08889853607
546	0.08886772167
547	0.08881679121
548	0.08876880426
549	0.08870498646
550	0.08861463698
551	0.08858367775
552	0.08855271876
553	0.08852059791
554	0.08848887423
555	0.08846318522
556	0.08843316894
557	0.08840070288
558	0.08837260376
559	0.08834045256
560	0.0883090887
561	0.08827005972
562	0.08823932339
563	0.08820815007
564	0.08818578278
565	0.08814512856
566	0.08811803538
567	0.08809025619
568	0.08807391296
569	0.08805059787
570	0.0880329015
571	0.0880121164
572	0.08796984541
573	0.08794628857
574	0.08791165171
575	0.08786596196
576	0.08783091424
577	0.08779142475
578	0.08777918575
579	0.08771619603
580	0.08768458491
581	0.08765258401
582	0.08762450562
583	0.08758345683
584	0.08755988279
585	0.08751208888
586	0.08742369892
587	0.08739237981
588	0.08736629286
589	0.08732829233
590	0.08726603914
591	0.08718096093
592	0.08716399801
593	0.08713530288
594	0.08710774425
595	0.08707613206
596	0.08703505115
597	0.08701877553
598	0.08698792325
599	0.08695395282
